"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-114.80","55.15","FLATTOP LO","3062630","2017-01-01","2017","01","01","","","","","","","","","","","","","","","","","","","","","","",""
"-114.80","55.15","FLATTOP LO","3062630","2017-01-02","2017","01","02","","","","","","","","","","","","","","","","","","","","","","",""
"-114.80","55.15","FLATTOP LO","3062630","2017-01-03","2017","01","03","","","","","","","","","","","","","","","","","","","","","","",""
"-114.80","55.15","FLATTOP LO","3062630","2017-01-04","2017","01","04","","","","","","","","","","","","","","","","","","","","","","",""
"-114.80","55.15","FLATTOP LO","3062630","2017-01-05","2017","01","05","","","","","","","","","","","","","","","","","","","","","","",""
"-114.80","55.15","FLATTOP LO","3062630","2017-01-06","2017","01","06","","","","","","","","","","","","","","","","","","","","","","",""
"-114.80","55.15","FLATTOP LO","3062630","2017-01-07","2017","01","07","","","","","","","","","","","","","","","","","","","","","","",""
"-114.80","55.15","FLATTOP LO","3062630","2017-01-08","2017","01","08","","","","","","","","","","","","","","","","","","","","","","",""
"-114.80","55.15","FLATTOP LO","3062630","2017-01-09","2017","01","09","","","","","","","","","","","","","","","","","","","","","","",""
"-114.80","55.15","FLATTOP LO","3062630","2017-01-10","2017","01","10","","","","","","","","","","","","","","","","","","","","","","",""
"-114.80","55.15","FLATTOP LO","3062630","2017-01-11","2017","01","11","","","","","","","","","","","","","","","","","","","","","","",""
"-114.80","55.15","FLATTOP LO","3062630","2017-01-12","2017","01","12","","","","","","","","","","","","","","","","","","","","","","",""
"-114.80","55.15","FLATTOP LO","3062630","2017-01-13","2017","01","13","","","","","","","","","","","","","","","","","","","","","","",""
"-114.80","55.15","FLATTOP LO","3062630","2017-01-14","2017","01","14","","","","","","","","","","","","","","","","","","","","","","",""
"-114.80","55.15","FLATTOP LO","3062630","2017-01-15","2017","01","15","","","","","","","","","","","","","","","","","","","","","","",""
"-114.80","55.15","FLATTOP LO","3062630","2017-01-16","2017","01","16","","","","","","","","","","","","","","","","","","","","","","",""
"-114.80","55.15","FLATTOP LO","3062630","2017-01-17","2017","01","17","","","","","","","","","","","","","","","","","","","","","","",""
"-114.80","55.15","FLATTOP LO","3062630","2017-01-18","2017","01","18","","","","","","","","","","","","","","","","","","","","","","",""
"-114.80","55.15","FLATTOP LO","3062630","2017-01-19","2017","01","19","","","","","","","","","","","","","","","","","","","","","","",""
"-114.80","55.15","FLATTOP LO","3062630","2017-01-20","2017","01","20","","","","","","","","","","","","","","","","","","","","","","",""
"-114.80","55.15","FLATTOP LO","3062630","2017-01-21","2017","01","21","","","","","","","","","","","","","","","","","","","","","","",""
"-114.80","55.15","FLATTOP LO","3062630","2017-01-22","2017","01","22","","","","","","","","","","","","","","","","","","","","","","",""
"-114.80","55.15","FLATTOP LO","3062630","2017-01-23","2017","01","23","","","","","","","","","","","","","","","","","","","","","","",""
"-114.80","55.15","FLATTOP LO","3062630","2017-01-24","2017","01","24","","","","","","","","","","","","","","","","","","","","","","",""
"-114.80","55.15","FLATTOP LO","3062630","2017-01-25","2017","01","25","","","","","","","","","","","","","","","","","","","","","","",""
"-114.80","55.15","FLATTOP LO","3062630","2017-01-26","2017","01","26","","","","","","","","","","","","","","","","","","","","","","",""
"-114.80","55.15","FLATTOP LO","3062630","2017-01-27","2017","01","27","","","","","","","","","","","","","","","","","","","","","","",""
"-114.80","55.15","FLATTOP LO","3062630","2017-01-28","2017","01","28","","","","","","","","","","","","","","","","","","","","","","",""
"-114.80","55.15","FLATTOP LO","3062630","2017-01-29","2017","01","29","","","","","","","","","","","","","","","","","","","","","","",""
"-114.80","55.15","FLATTOP LO","3062630","2017-01-30","2017","01","30","","","","","","","","","","","","","","","","","","","","","","",""
"-114.80","55.15","FLATTOP LO","3062630","2017-01-31","2017","01","31","","","","","","","","","","","","","","","","","","","","","","",""
"-114.80","55.15","FLATTOP LO","3062630","2017-02-01","2017","02","01","","","","","","","","","","","","","","","","","","","","","","",""
"-114.80","55.15","FLATTOP LO","3062630","2017-02-02","2017","02","02","","","","","","","","","","","","","","","","","","","","","","",""
"-114.80","55.15","FLATTOP LO","3062630","2017-02-03","2017","02","03","","","","","","","","","","","","","","","","","","","","","","",""
"-114.80","55.15","FLATTOP LO","3062630","2017-02-04","2017","02","04","","","","","","","","","","","","","","","","","","","","","","",""
"-114.80","55.15","FLATTOP LO","3062630","2017-02-05","2017","02","05","","","","","","","","","","","","","","","","","","","","","","",""
"-114.80","55.15","FLATTOP LO","3062630","2017-02-06","2017","02","06","","","","","","","","","","","","","","","","","","","","","","",""
"-114.80","55.15","FLATTOP LO","3062630","2017-02-07","2017","02","07","","","","","","","","","","","","","","","","","","","","","","",""
"-114.80","55.15","FLATTOP LO","3062630","2017-02-08","2017","02","08","","","","","","","","","","","","","","","","","","","","","","",""
"-114.80","55.15","FLATTOP LO","3062630","2017-02-09","2017","02","09","","","","","","","","","","","","","","","","","","","","","","",""
"-114.80","55.15","FLATTOP LO","3062630","2017-02-10","2017","02","10","","","","","","","","","","","","","","","","","","","","","","",""
"-114.80","55.15","FLATTOP LO","3062630","2017-02-11","2017","02","11","","","","","","","","","","","","","","","","","","","","","","",""
"-114.80","55.15","FLATTOP LO","3062630","2017-02-12","2017","02","12","","","","","","","","","","","","","","","","","","","","","","",""
